year,section,credit_rule,notes,module_code,description,assessment,credits,period,sub_slot,module_rules
Year 1U,Compulsory Modules (120 credits),,,MTHA4003B,REAL ANALYSIS AND GROUP THEORY,WW,20,SEM2,B1,
Year 1U,Compulsory Modules (120 credits),,,MTHA4007B,COMPUTATION AND MODELLING,CW,20,SEM2,C,
Year 1U,Compulsory Modules (120 credits),,,MTHA4008B,PROBABILITY AND MULTIVARIABLE CALCULUS,WW,20,SEM2,D,BEFORE OR WHILE TAKING THIS MODULE YOU MUST TAKE MTHA4008A
Year 1U,Compulsory Modules (120 credits),,,MTHA4008A,CALCULUS,WW,20,SEM1,D,
Year 1U,Compulsory Modules (120 credits),,,MTHA4004A,PROOFS AND LIMITS,CW,20,SEM1,A1,
Year 1U,Compulsory Modules (120 credits),,,MTHA4005A,LINEAR EQUATIONS AND DIGITAL SKILLS,WW,20,SEM1,C,
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5003A,COMPLEX FUNCTIONS AND LINEAR ALGEBRA,WW,20,SEM1,B1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA4003Y AND TAKE MTHA4006Y OR TAKE MTHA4003A AND TAKE MTHA4003B
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5003B,COMPLEX INTEGRATION AND RING THEORY,WW,20,SEM2,B1,BEFORE OR WHILE TAKING THIS MODULE YOU MUST TAKE MTHA5003A
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5005A,DIFFERENTIAL EQUATIONS AND APPLIED METHODS,WW,20,SEM1,A2,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA4008Y OR TAKE MTHA4008B
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5005B,FLUID FLOW - THEORY AND COMPUTATION,WW,20,SEM2,A,
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,MTHE5037B,CRYPTOGRAPHY,WW,20,SEM2,C2,
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,MTHS5050A,MATHEMATICAL STATISTICS,WW,20,SEM1,D1,IN TAKING THIS MODULE YOU CANNOT TAKE MTHS6050A
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,MTHS5051B,LINEAR AND GENERALISED LINEAR MODELS,WW,20,SEM2,D,WHILE TAKING THIS MODULE YOU MUST TAKE MTHS5050A OR TAKE MTHS6050A
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,CHE-5250A,QUANTUM THEORY,WW,20,SEM1,,
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,CMP-4008Y,PROGRAMMING 1,WW,20,YEAR,,IN TAKING THIS MODULE YOU CANNOT TAKE CMP-4009B OR TAKE CMP-5020B OR TAKE CMP-5048A
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,CMP-5046B,FOUNDATIONS OF DATA SCIENCE,CP,20,SEM2,E,
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,EDUB5021B,EDUCATIONAL PSYCHOLOGY,CW,20,SEM2,B,
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,ENV-5048A,METEOROLOGY,CW,20,SEM1,D,
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,MTHT4001A,INTRODUCTION TO FINANCIAL MATHEMATICS,WW,20,SEM1,C2,
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,NBS-4108B,INTRODUCTION TO FINANCIAL AND MANAGEMENT ACCOUNTING,EX,20,SEM2,C,
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,PHY-4003A,GEOPHYSICS AND ASTROPHYSICS,WW,20,SEM1,B,
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHE6033A,GROUPS AND ALGEBRA,WW,20,SEM1,A1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5003Y AND TAKE MTHA5001Y OR TAKE MTHA5003A AND TAKE MTHA5003B
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHE6034A,PARTIAL DIFFERENTIAL EQUATIONS,WW,20,SEM1,B1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5002B OR TAKE MTHB5011B OR TAKE MTHA5005A AND TAKE MTHA5005B
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHE6035B,NUMBER THEORY,WW,20,SEM2,A2,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5001Y AND TAKE MTHA5003Y OR TAKE MTHA5003A AND TAKE MTHA5003B AND TAKE MTHF5035A
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHE6036B,FLUIDS AND WAVES,WW,20,SEM2,B1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5005A OR TAKE MTHB5011B
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHE6037B,CRYPTOGRAPHY,WW,20,SEM2,C2,
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHS6050A,MATHEMATICAL STATISTICS,WW,20,SEM1,D1,IN TAKING THIS MODULE YOU CANNOT TAKE MTHS5050A
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHS6052B,STOCHASTIC PROCESSES AND TIME SERIES,WW,20,SEM2,C2,
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,MTHT6005B,FINANCIAL MATHEMATICS,WW,20,SEM2,D,IN TAKING THIS MODULE YOU CANNOT TAKE ECO-7013B
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,PHY-6003B,ANALYTICAL MECHANICS AND ELECTROMAGNETIC FIELD THEORY,WW,20,SEM2,A1,
Year 3U,Options Range A,80-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 80-100 credits from the following modules:,PHY-6007A,GENERAL RELATIVITY,WW,20,SEM1,D2,IN TAKING THIS MODULE YOU CANNOT TAKE PHY-7007A
Year 3U,Options Range B,20-40 credits,Students will select 20-40 credits from the following modules:,EDUB6014A,THE LEARNING AND TEACHING OF MATHEMATICS,CW,20,SEM1,E,
Year 3U,Options Range B,20-40 credits,Students will select 20-40 credits from the following modules:,MTHA6002B,HISTORY OF MATHEMATICS,CW,20,SEM2,D1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA4008Y OR TAKE MTHA4008A OR TAKE MTHB4010Y
Year 3U,Options Range B,20-40 credits,Students will select 20-40 credits from the following modules:,MTHA6005Y,MATHEMATICS PROJECT,PR,20,YEAR,,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",BIO-6018Y,SCIENCE COMMUNICATION,CW,20,YEAR,C1,IN TAKING THIS MODULE YOU CANNOT TAKE BIO-5012B
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",CMP-5015A,PROGRAMMING 2,WW,20,SEM1,C1,BEFORE TAKING THIS MODULE YOU MUST TAKE CMP-4008Y
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",CMP-5046B,FOUNDATIONS OF DATA SCIENCE,CP,20,SEM2,E,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",CMP-6044A,INTRODUCTION TO CYBER SECURITY,CW,20,SEM1,D,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",CMP-6058A,ARTIFICIAL INTELLIGENCE,CP,20,SEM1,B,IN TAKING THIS MODULE YOU CANNOT TAKE CMP-5058A OR TAKE CMP-7058A
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",EDUB5021B,EDUCATIONAL PSYCHOLOGY,CW,20,SEM2,B,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",EDUB6006A,"CHILDREN, TEACHERS AND MATHEMATICS: CHANGING PUBLIC DISCOURSES ABOUT MATHEMATICS",CW,20,SEM1,D,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",ENV-5047A,THE OCEAN SYSTEM,WW,20,SEM1,A1,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",ENV-5048A,METEOROLOGY,CW,20,SEM1,D,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",ENV-6004A,MODELLING ENVIRONMENTAL PROCESSES,CP,20,SEM1,C,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",ENV-6035B,CLIMATE AND WEATHER PREDICTION,CW,20,SEM2,D,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",MTHS5051B,LINEAR AND GENERALISED LINEAR MODELS,WW,20,SEM2,D,WHILE TAKING THIS MODULE YOU MUST TAKE MTHS5050A OR TAKE MTHS6050A
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",NBS-5101A,FINANCIAL REPORTING,EX,20,SEM1,A1,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",NBS-5104B,MANAGEMENT ACCOUNTING,EX,20,SEM2,A1,
Year 3U,Options Range C,0-20 credits,"Please Note: Not all modules listed may be available, depending on student choice and timetabling constraints.Students will select 0-20 credits from the following modules:",PHY-5250A,QUANTUM THEORY,WW,20,SEM1,A1,
Year 4U,Core Modules ( 40 credits),,,MTHA7029Y,MATHEMATICS DISSERTATION,DS,40,YEAR,,
Year 4U,Options Range A,60-80 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester. Note students who have taken PHY-6007A cannot take PHY-7007AStudents will select 60-80 credits from the following modules:,MTHA7030B,RESEARCH TOPICS IN PURE MATHEMATICS,CW,20,SEM2,E,
Year 4U,Options Range A,60-80 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester. Note students who have taken PHY-6007A cannot take PHY-7007AStudents will select 60-80 credits from the following modules:,MTHE7033A,GROUPS AND ALGEBRA WITH ADVANCED TOPICS,WW,20,SEM1,A1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5003Y AND TAKE MTHA5001Y OR TAKE MTHA5003A AND TAKE MTHA5003B OR TAKE MTHA5004Y AND TAKE MTHA5007Y
Year 4U,Options Range A,60-80 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester. Note students who have taken PHY-6007A cannot take PHY-7007AStudents will select 60-80 credits from the following modules:,MTHE7034A,PARTIAL DIFFERENTIAL EQUATIONS WITH ADVANCED TOPICS,WW,20,SEM1,B1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5002B OR TAKE MTHB5011B OR TAKE MTHA5005A AND TAKE MTHA5005B
Year 4U,Options Range A,60-80 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester. Note students who have taken PHY-6007A cannot take PHY-7007AStudents will select 60-80 credits from the following modules:,MTHE7035B,NUMBER THEORY WITH ADVANCED TOPICS,WW,20,SEM2,A2,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5003A AND TAKE MTHA5003B
Year 4U,Options Range A,60-80 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester. Note students who have taken PHY-6007A cannot take PHY-7007AStudents will select 60-80 credits from the following modules:,MTHE7036B,FLUIDS AND WAVES WITH ADVANCED TOPICS,WW,20,SEM2,B1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5005A OR TAKE MTHB5011B
Year 4U,Options Range A,60-80 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester. Note students who have taken PHY-6007A cannot take PHY-7007AStudents will select 60-80 credits from the following modules:,PHY-7007A,RELATIVISTIC ASTROPHYSICS,WW,20,SEM1,D2,IN TAKING THIS MODULE YOU CANNOT TAKE PHY-6007A
